event_id,device_id,timestamp,latitude,longitude,speed_kmh,engine_temp_c,battery_pct,status
644b37bb-4d53-4785-af50-0c08456a9b94,TRUCK-044,2024-10-01 00:09:00,-34.587339,-58.428391,0,22,82,maintenance
ad3aa1aa-b358-4c7e-949c-701e7d6b0fa8,TRUCK-021,2024-10-01 00:22:00,-34.588385,-58.395445,0,74,96,stopped
e1dbc1e0-985d-40cb-bcee-afb68dd10f11,TRUCK-001,2024-10-01 00:37:00,-34.521663,-58.425219,0,81,84,idle
68eeddad-58ef-46b9-b320-cae781011738,TRUCK-043,2024-10-01 00:46:00,-34.588688,-58.429255,0,32,91,maintenance
336c1a4c-f5b9-43ac-a954-435a9e999045,TRUCK-044,2024-10-01 00:47:00,-34.576805,-58.401588,0,29,79,maintenance
cd2e3ef5-492a-4f54-bbdf-66e17dfc15d2,TRUCK-018,2024-10-01 00:51:00,-34.529211,-58.47757,0,82,62,idle
7c117274-c0c5-4b87-a58b-cce592ba44b4,TRUCK-039,2024-10-01 00:53:00,-34.555602,-58.332267,0,79,88,stopped
300d68d4-bc88-4fb6-b2f8-9d7cec408b86,TRUCK-050,2024-10-01 01:08:00,-34.553194,-58.423842,0,74,99,stopped
e2e4c3f1-2af2-4c40-a97e-2a89f30f4970,TRUCK-048,2024-10-01 01:13:00,-34.513502,-58.333782,56,92,98,moving
cfaae823-b856-44b5-9b70-216e63215ebe,TRUCK-049,2024-10-01 01:16:00,-34.590818,-58.496332,0,71,78,stopped
53c58e19-cebf-4a0a-951c-8ef9c012e30b,TRUCK-013,2024-10-01 01:29:00,-34.55829,-58.486993,0,28,84,maintenance
78005414-3928-4431-a871-98f0325782e9,TRUCK-014,2024-10-01 01:34:00,-34.506245,-58.324377,0,75,94,stopped
067de284-efcd-45a5-9def-5c47406750f0,TRUCK-019,2024-10-01 01:46:00,-34.552051,-58.321188,0,25,79,maintenance
23d5d5b0-2fc1-4b26-9421-9f324e6af592,TRUCK-039,2024-10-01 01:49:00,-34.541826,-58.332943,0,75,66,stopped
45d45d07-f4e2-4076-8c6c-84eca5ecf371,TRUCK-027,2024-10-01 01:57:00,-34.582028,-58.391806,0,76,66,stopped
aeaa49b8-f9cd-4898-ba9d-cc88067f985c,TRUCK-011,2024-10-01 02:04:00,-34.556028,-58.399904,0,20,67,maintenance
320d1abe-3e96-4d3a-9317-cc13fe067c64,TRUCK-016,2024-10-01 02:13:00,-34.542842,-58.463531,0,84,75,idle
2362718f-a331-47d4-8d4b-c3d0bb214df7,TRUCK-035,2024-10-01 02:15:00,-34.596195,-58.3519,0,71,93,idle
ed5e0a22-7f91-4830-8054-ede2a87482e2,TRUCK-002,2024-10-01 02:25:00,-34.508456,-58.494579,67,87,83,moving
9240fa99-1f73-4495-9c15-4dea7f56672b,TRUCK-031,2024-10-01 02:39:00,-34.521636,-58.411993,77,88,72,moving
30d1dfcb-635b-4997-a47e-1059cbaf78c8,TRUCK-019,2024-10-01 02:47:00,-34.502919,-58.400919,72,102,76,moving
c5add2a9-0324-4854-9df7-3e37cc8b5243,TRUCK-041,2024-10-01 02:59:00,-34.544551,-58.425158,0,40,62,maintenance
11d288ce-68c8-418e-8cef-9eeab2b1ef9c,TRUCK-016,2024-10-01 03:00:00,-34.50626,-58.325869,71,96,68,moving
167fd3a2-c8d9-4acf-8f7c-921d2876eb7f,TRUCK-032,2024-10-01 03:05:00,-34.541012,-58.31429,46,100,98,moving
eb8dfdd7-5738-4211-9087-72143428f000,TRUCK-007,2024-10-01 03:14:00,-34.583156,-58.365764,0,75,76,stopped
1d963e06-4e67-4cb2-9815-8c6e6faa5d16,TRUCK-010,2024-10-01 03:16:00,-34.52278,-58.498806,0,40,72,maintenance
