event_id,device_id,timestamp,latitude,longitude,speed_kmh,engine_temp_c,battery_pct,status
b1fc0111-a9f9-4c1b-8b86-be26db05ecb9,TRUCK-031,2024-10-01 00:05:00,-34.564838,-58.417879,0,74,87,idle
6e533870-84f0-4daf-8b25-ceadb4986cd8,TRUCK-004,2024-10-01 00:14:00,-34.543267,-58.413376,76,104,98,moving
a4c93dd4-033c-4560-8caf-8aed2752be98,TRUCK-031,2024-10-01 00:24:00,-34.514673,-58.316862,77,95,83,moving
c09bd1b5-c75e-46ae-bcd2-77f773ccaf70,TRUCK-032,2024-10-01 00:35:00,-34.585835,-58.340111,54,88,99,moving
8e386ecb-6e41-4af8-9f7f-0cfe8872d418,TRUCK-004,2024-10-01 00:45:00,-34.552689,-58.353054,75,85,81,moving
54c7d3ba-9244-4a99-b80f-10b4211f3483,TRUCK-043,2024-10-01 00:51:00,-34.55967,-58.382192,0,78,75,stopped
76b98077-466d-4ca2-9b72-cc6a98e8c8b4,TRUCK-010,2024-10-01 00:53:00,-34.586674,-58.469683,0,21,96,maintenance
963ce7c1-e903-432a-8225-2c63d36f56ef,TRUCK-049,2024-10-01 01:00:00,-34.506605,-58.386425,0,24,88,maintenance
34e28c0e-7b2f-453e-9a5b-dffb17c1de30,TRUCK-038,2024-10-01 01:08:00,-34.571089,-58.433667,0,22,63,maintenance
4a51011a-f765-45e7-af81-9f5440462c0b,TRUCK-040,2024-10-01 01:13:00,-34.555609,-58.34376,0,78,79,stopped
ac925e7b-333d-46e6-aaf1-f20c38bbb458,TRUCK-044,2024-10-01 01:22:00,-34.53111,-58.308891,0,84,62,stopped
8d00141f-0711-4e75-9636-c189cbe4863f,TRUCK-004,2024-10-01 01:33:00,-34.592534,-58.330333,65,101,63,moving
3d55035a-9a52-461d-bbc6-494bac78ad92,TRUCK-002,2024-10-01 01:38:00,-34.583614,-58.323912,0,23,91,maintenance
a820ab40-6b09-4aad-805f-b4b9b4dab2f4,TRUCK-034,2024-10-01 01:44:00,-34.525528,-58.485341,0,70,88,idle
332a4d4a-2c10-45b2-b74d-cc5b3170fa08,TRUCK-048,2024-10-01 01:52:00,-34.567625,-58.382461,0,73,77,idle
4801f422-6853-40f4-ac85-4a67dfd4fa93,TRUCK-015,2024-10-01 01:57:00,-34.535471,-58.37578,0,70,66,idle
7b6e7e16-ce19-49ee-91e8-392f77eaf538,TRUCK-049,2024-10-01 02:03:00,-34.586818,-58.499937,0,80,98,idle
20b0be9d-3a9b-4fc5-8d69-fdc35ffff6c8,TRUCK-049,2024-10-01 02:15:00,-34.597448,-58.396216,0,79,83,stopped
